id,title,url,description,original_price,discounted_price,category,photo_url,booked_number,review_score,review_number,tags,is_mflg
11,Skyline Luge Singapore Ticket,https://www.klook.com/en-US/activity/132-skyline-luge-singapore/,"What To Expect at Skyline Luge & Skyride Sentosa
Part-go kart, part-toboggan, a trip to Skyline Luge Singapore will have you racing down a purpose-built track with the wind in your hair and the thrill of gravity's pull. Originating from New Zealand over 27 years ago,  Skyline Luge Singapore allows guests to hop on a three-wheel type sled and have them control their descent down the 1.2m track by pulling or pushing handlebars to brake or accelerate. After you arrive down the track, you can head back up onboard the scenic Sentosa Skyride - an open-cabin trip with bird's eye views of Sentosa! Don’t miss out on the chance to experience the only place in all of Asia that has the Skyline Luge when you visit Singapore!",35,32.5,Playgrounds,https://res.klook.com/image/upload/activities/mnmgyedhwa44wkwacedk.jpg,700000,4.8,30000,"['Bestseller', 'Instant confirmation']",false
12,Kiztopia Ticket in Singapore (Marina Square),https://www.klook.com/en-US/activity/31617-kiztopia-ticket-singapore/,"What to expect
From cosmic spaces to VR and even train rides, enjoy over 18 different play areas specially designed for children! Bond with the kids as they learn from interactive play-zones that cultivate social and motor skills.",15,,Playgrounds,https://res.klook.com/image/upload/activities/ujjmn3mteluhgbtrckwl.jpg,90000,4.8,3276,"['Bestseller', 'Instant confirmation', 'Book now for today', 'Best Price Guarantee']",false
13,River Wonders Singapore Ticket,https://www.klook.com/en-US/activity/124-river-wonders-singapore-tickets/,"What To Expect at Singapore River Wonders
Take the family on a captivating experience of river life at the Mandai River Wonders. Inspired by the mighty rivers of the world, the attraction features animals and plantation against a backdrop of history and culture. Name the world's longest rivers in order: which comes first, Egypt's Nile, China's Yangtze, or South America's Amazon?

Discover how deep Africa's Congo River runs, and the religious significance of the Ganges in India. Learn about the endangered species of North America's Mississippi, the floating villages of the Mekong in Asia.",42,39.9,Zoos & aquariums,https://res.klook.com/image/upload/activities/c2gjn0qurbsh9rxkjjq1.jpg,400000,4.6,8515,"['Bestseller', 'Instant confirmation']",false
14,Matilda The Musical in Singapore,https://www.klook.com/en-US/activity/94791-matilda-the-musical-singapore/,"What to expect

Matilda The Musical is the multi-award winning musical from the Royal Shakespeare Company, inspired by the beloved book by the incomparable Roald Dahl.

With book by Dennis Kelly and original songs by Tim Minchin, Matilda The Musical is the story of an extraordinary little girl who, armed with a vivid imagination and a sharp mind, dares to take a stand and change her own destiny.",72,,Events & shows,https://res.klook.com/image/upload/activities/hkbil4m5rdb4iis9dtjb.jpg,1000,4.9,32,[],false
15,Bird Paradise Ticket in Singapore,https://www.klook.com/en-US/activity/123-bird-paradise-singapore/,"Bird Paradise
Immerse in the symphony of colours across 8 walk-through aviaries that will take you to different biomes and landscapes of the world. Bird Paradise is home to over 3,500 birds from over 400 avian species. ",48,45.6,Zoos & aquariums,https://res.klook.com/image/upload/activities/mbo5sq0xb1gp6mv9hadv.jpg,200000,4.7,4430,"['Bestseller', 'Instant confirmation']",false
16,Wings of Time Show Ticket in Singapore,https://www.klook.com/en-US/activity/135-wings-of-time-singapore/,"What To Expect from Wings of Time
Watch the amazing Wing of Time show in Sentosa Island while you visit Singapore. In the world's first permanent night show set in the open sea, Wings of Time features an epic production that brings together 3D projection mapping, state-of-the-art laser lights, robotic water fountains and pyrotechnics to tell the tale of Shahbaz and friends. The imagery is projected onto a massive water screen, offering a captivating visual treat, while music is played to sweep you into the narrative from the get-go. A magical experience for the whole family, weaved into a tale of friendship, courage, and awe, Wings of Time is a must-see while in Sentosa!

SYNOPSIS
The adventure begins with Shahbaz, a prehistoric bird-like creature. Together with his friends, Rachel and Felix, they travel across beautiful landscapes and the mysteries of time. Their journey brings them through artistic interpretations of the British Industrialisation Revolution, the Silk Road era, Mayan Pyramids, Underwater World and African Savanna. Throughout the adventure, Shahbaz and his friends discover more about themselves and find the courage to be more than who they think they are.",19,17.1,Events & shows,https://res.klook.com/image/upload/activities/rqr1rwt6rsfixacicvqt.jpg,300000,4.7,10000,"['Bestseller', 'Instant confirmation', 'Combo: 5% off']",true
17,Adventure Cove Waterpark Ticket in Singapore,https://www.klook.com/en-US/activity/120-adventure-cove-waterpark-singapore/,"What To Expect at Adventure Cove Waterpark
Located at Sentosa Island in Singapore, Southeast Asia’s first hydro-magnetic coaster isn’t its only claim to fame! Adventure Cove Waterpark offers 14 thrilling rides and attractions where you can enjoy to your heart’s content, from zooming down the high-speed water slides of Dueling Racer to drifting lazily down at Adventure River; snorkeling with amazing marine animals at Rainbow Reef to wading with friendly rays in the shallows at Ray Bay. Don’t miss to experience the shallow wading pool and playful fountain at Seahorse Hideaway, the open splash pool with twists and turns at Whirlpool Washout, and have a blast at Southeast Asia’s first hydro magnetic coaster at Riptide Rocket. There’s a wave of fun waiting for the thrill-seeker and nature lover in you, here at Adventure Cove Waterpark in Resorts World Sentosa.",23,,Water parks,https://res.klook.com/image/upload/activities/qpicgvhfgzqijw6uilsa.jpg,200000,4.7,7542,"['Bestseller', 'Instant confirmation']",false
18,Jewel Changi Airport Attraction Ticket in Singapore,https://www.klook.com/en-US/activity/25872-jewel-changi-airport-attractions-ticket-singapore/,"What to expect
You don’t need to fly in or out of Singapore just to experience one of the world’s best airports! This ticket to Jewel Changi Airport from Klook will allow you to explore the nature-themed entertainment and retail complex and its eye-catching attractions. Aside from catching a glimpse of the Rain Vortex, the world's tallest indoor waterfall, there are plenty of things to do and experience here. Start by visiting the Canopy Park, a refreshing garden trail that will also give you access to the Discovery Slides, Foggy Bowls, Petal Garden, and Topiary Walk. You can also opt to get lost at the vibrant Hedge Maze, cross the exhilarating Mastercard® Canopy Bridge, suspended 23 meters above ground, and many more. Combo products are also available, so you can visit multiple attractions in one day and maximize your visit. Jewel Changi also offers shopping options and dining outlets, so you’ll never run out of things to do here.",8,6,Playgrounds,https://res.klook.com/image/upload/activities/eo9xj5btye4qqrp3b7yr.jpg,300000,4.7,9091,"['Bestseller', 'Instant confirmation', 'Combo: 9% off']",false
19,Klook Pass Singapore - Mandai Pass,https://www.klook.com/en-US/activity/70278-singapore-wildlife-pass/,"Highlights
Get access to 2 or 3 attractions with this one pass for a great price!
The pass includes general entry to your all time favourites - Singapore Zoo, Singapore Night Safari, Singapore River Wonders, and the new Bird Paradise!
The pass is valid for 30 days and gives you flexibility to pick and choose depending on when and where you would like to go! Visits can be applied on different days within the validity period.",71,65.99,Attraction passes,https://res.klook.com/image/upload/activities/cyjlljalfs3uerzarxbe.jpg,10000,4.6,319,"['Bestseller', 'Easy refund', 'Instant confirmation', 'Klook exclusive']",false
20,Museum of Ice Cream Singapore,https://www.klook.com/en-US/activity/78105-museum-ice-cream-singapore-admission/,"What to expect
ABOUT MOIC
We create multi-sensorial installations that connect people and spread joy. To us, ice cream is more than a sweet treat. It’s a universal symbol of happiness, a vehicle for imaginative wonder, and a powerful force to bring people together. We believe that anything is possible. MOIC is where unicorns are real and where dreams come true.",41,,Museums,https://res.klook.com/image/upload/activities/gws01p7muttlvt2ufci1.jpg,40000,4.5,663,"['Bestseller', 'Instant confirmation', 'Book now for tomorrow']",false
21,SkyPark Ticket by Kiztopia Singapore,https://www.klook.com/en-US/activity/98321-kiztopia-ticket-singapore-skypark-orchard/,"Highlights
An 8,000 sqft indoor play paradise nestled in the heart of Orchard Cineleisure, SkyPark is designed to captivate energetic ones aged 6 and above
Not forgetting the little ones, SkyPark also has vertical gyms and a ball pit for them, as well as trendy party rooms for families to celebrate special occasions
Positioned in Orchard's bustling center, SkyPark promises an all - encompassing adventure for families of all ages, igniting their physical prowess and crafting lasting memories together",15,,Playgrounds,https://res.klook.com/image/upload/activities/nsegkcyktvo7xgeczxob.jpg,10000,4.6,137,"['Bestseller', 'Instant confirmation', 'Book now for today', 'Best Price Guarantee']",false
22,SuperPark Ticket in Singapore,https://www.klook.com/en-US/activity/29902-superpark-singapore/,"The largest indoor activity park in Singapore with over 40,000 sqft of play area! • Have an exciting time at SuperPark's three themed zones with over 20 activities perfect for all ages!
Test your ninja skills, go on a tube slide, and race around an indoor track in the Adventure Area
Play baseball, basketball, superbowling, and more with your friends and family at the Game Arena
Climb and jump high, and show off your skate and scoot skills, all at the Freestyle Hall
Enjoy your play session of moving, dancing, and playing at the thrilling SuperPark, where there's something for everyone!",22.9,19.8,Playgrounds,https://res.klook.com/image/upload/activities/i29635qjyzdwryaee4at.jpg,30000,4.7,1408,"['Bestseller', 'Instant confirmation', 'Book now for tomorrow']",false
23,Kumar Uncut at Sands Theatre in Singapore,https://www.klook.com/en-US/activity/110640-kumar-uncut-at-sands-theatre-in-singapore/,"What to expect

UNCUT!

Sitting on the director's chair for the first time ever, Kumar is ready, set, slay to give you the biggest local comedy entertainment headliner of 2024 at Marina Bay Sands. Have no doubt that when Singapore's Queen of Comedy goes down to make you laugh, it will not get more Raw and Real than this!

With all previous seasons sold out, witness Kumar try his hand at a production job to blow your mind yet again, and maybe even harder, with unedited comedy alongside your crowd favourite drag queens lip-syncing to all the legends in the music world.

Kumar will not cut corners on your bucks!",62,56.2,Events & shows,https://res.klook.com/image/upload/activities/vskwst0vzwoce7kce1gx.jpg,400,,,[],false
24,"Hamilton Singapore at Sands Theatre, Marina Bay Sands",https://www.klook.com/en-US/activity/99758-hamilton-musical-singapore/,"HAMILTON is the story of America then, told by America now. This “theatrical landmark has transformed theatre and the way we think about history.” – The New York Times.

Featuring a score that blends hip-hop, jazz, R&B and Broadway, HAMILTON has taken the story of American founding father Alexander Hamilton and created a revolutionary moment in theatre – a musical that has had a profound impact on culture, politics and education.

With book, music and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire, HAMILTON is based on Ron Chernow’s acclaimed biography.

",104,,Events & shows,https://res.klook.com/image/upload/activities/s4uvyajv1lld3c2mtbob.jpg,10000,,,['Bestseller'],false
25,Resorts World Sentosa (Singapore) Pass,https://www.klook.com/en-US/activity/72760-singapore-resorts-world-sentosa-pass/,"Highlights
Get access to a variety of Resorts World Sentosa activities with this one pass for a great price!
The pass includes entry to 1, 2, or all 3 of your all time favourite parks - Universal Studios Singapore, S.E.A. Aquarium and Adventure Cove Waterpark!
The pass is valid for 30 days and gives you flexibility to pick and choose depending on when and where you would like to go!",132,125,Attraction passes,https://res.klook.com/image/upload/activities/hkqhggpnmbuy94ij0ps6.jpg,2000,4.8,40,"['Easy refund', 'Instant confirmation', 'Klook exclusive']",false
26,Madame Tussauds Singapore Ticket,https://www.klook.com/en-US/activity/1182-madame-tussauds-singapore/,"What to Expect at Madame Tussauds Singapore
Feel the action at our brand new Marvel Universe 4D experience and getting your instagram moments with your favourite super heroes – Iron Man and Spiderman. Can’t decide between Bollywood or Hollywood? We have both! Go on an audition to be the next Bollywood superstar or get up close and personal with all the famous people at our various zones – Music, A-List Party, Sports, History & Leaders, Film and more. Next, take a trip back down the memory lane and discover Singapore’s transformation from a small village into a bustling metropolis. Don't leave without hopping aboard The Spirit of Singapore Boat Ride that takes you on a voyage through an exotic tropical garden.",44,38,Museums,https://res.klook.com/image/upload/activities/bqfbyuxvtxs7ssh0s7am.jpg,100000,4.7,7144,"['Bestseller', 'Instant confirmation', 'Combo: 11% off']",false
27,"Science Centre Singapore, Omni Theatre, KidsSTOP Ticket",https://www.klook.com/en-US/activity/1347-science-centre-singapore-omni-theatre-movie-singapore/,"What To Expect from Science Centre Singapore
Make the most of your children’s school holidays or birthday party and take the whole family to Science Centre Singapore. The learning institution is considered one of the top science centres in the world. One of the must-see features of the Science Centre Singapore is the Singapore Omni Theatre, Singapore’s only dome-shaped, 5-story high theatre using the world’s latest & brightest 8K Digital Fulldome System. Make sure to book via Klook for a hassle-free visit to Science Centre Singapore with your family!",12,9.6,Museums,https://res.klook.com/image/upload/activities/kwgld34z6cnevll4jqkv.jpg,200000,4.6,5673,"['Bestseller', 'Instant confirmation', 'Book now for today']",false
28,National Gallery Singapore Ticket,https://www.klook.com/en-US/activity/1256-national-gallery-singapore/,"National Gallery Singapore
Discover Singaporean and Southeast Asian art at the National Gallery Singapore – home to over 1,000 art works
Explore Singapore's signature architecture – the National Gallery Singapore is located in the iconic restored Supreme Court and City Hall buildings, built in 1937 and 1926 respectively
A day at the National Gallery Singapore is the perfect way to learn more about the city and learn about local and Southeast Asia art",20,14,Museums,https://res.klook.com/image/upload/activities/qiwboihtvtnminra0iri.jpg,90000,4.7,2246,"['Bestseller', 'Easy refund', 'Instant confirmation']",false
29,Miss Saigon Musical at Sands Theatre in Singapore,https://www.klook.com/en-US/activity/108501-miss-saigon-musical-sands-theatre-singapore-ticket/,"What to expect
The Heat is On, Singapore! Cameron Mackintosh’s Miss Saigon returns after 23 years.

Base Entertainment Asia in association with GWB Entertainment present Cameron Mackintosh’s acclaimed new production of Boublil and Schönberg’s award-winning musical Miss Saigon.

Seen by 38 million people worldwide, this production is more thrilling than ever. From the creators of Les Misérables, the soaring musical score features hits including “The Heat is On in Saigon”, “The Movie in My Mind”, “Last Night of the World” and “The American Dream”.",64,55,Events & shows,https://res.klook.com/image/upload/activities/vtz7xwyg9kihrtzguwoj.jpg,700,,,[],false
30,National Museum of Singapore Ticket,https://www.klook.com/en-US/activity/1199-national-museum-singapore/,"National Museum of Singapore
Explore 700 years of Singapore’s legacy and development through its immersive galleries
View over 1,700 artifacts presented through creative storytelling at Singapore's oldest museum
Enjoy museums? Visit the Malay Heritage Centre, Indian Heritage Centre or Sun Yat Sen Nanyang Memorial Hall and get to know more about the history behind Singapore’s local communities
You may also be interested in the National Gallery Singapore – Singapore’s newest and most iconic museum",5,,Museums,https://res.klook.com/image/upload/activities/s8xjuf8n2vezioqse2te.jpg,100000,4.7,2377,"['Bestseller', 'Easy refund', 'Instant confirmation']",false
31,Fun Discovery Pass at Sentosa,https://www.klook.com/en-US/activity/2121-sentosa-fun-pass-singapore/,"Highlights
Mix and match your fun and enjoy great savings with Fun Discovery Pass. Whether you’re one for thrills and spills, or activities and adventures for the whole family, there’s plenty of fun for everyone.
With the Fun Discovery Pass, you can make the most out of your trip to Sentosa. Simply select your pass based on your desired number of tokens, and visit the attractions of your choice. Whether you’re one for thrills and spills, or activities and adventures for the whole family, there’s plenty of fun for everyone.
Choose from either 95, or 130 Tokens and plan out your trip to Sentosa Island the way you want it
Visit popular attractions such as Trick Eye Museum, Madame Tussauds Singapore and Wings of Time
Unleash your inner adrenaline junkie at Skypark Sentosa and iFly Singapore for maximum thrill",90,81,Attraction passes,https://res.klook.com/image/upload/activities/qxrlca0etfu4b0wwjdvr.jpg,100000,4.6,5595,"['Bestseller', 'Instant confirmation', 'Book now for today']",false
32,Wild Wild Wet Ticket in Singapore,https://www.klook.com/en-US/activity/9610-wild-wild-wet-ticket-singapore/,"Enjoy a day of thrills for the whole family at one of Singapore's largest water parks with 16 exhilarating water slides and features
Awarded TripZilla Best Family Attraction 2017, TripAdvisor Top 10 Waterparks in Asia from 2014 to 2016, and TripAdvisor Top 5 Waterparks in Asia in 2019!
Relax in the lazy river, race your friends at the mat racer slide or experience one of Asia's longest free fall water slides with vertical drop speeds of up to 50 feet per second
With lifeguards trained in stringent international standards, guests can focus on creating unforgettable memories at one of the most popular local family attractions",29,22.5,Water parks,https://res.klook.com/image/upload/activities/r39mz8vsonnisicqgt1h.jpg,100000,4.6,3546,"['Bestseller', 'Instant confirmation', 'Book now for tomorrow', 'Skip the line']",false
33,Cathay Cineplexes Singapore Digital Everyday Movie Voucher or Medium Popcorn Combo Voucher,https://www.klook.com/en-US/activity/32505-cathay-cineplex-everyday-movie-voucher/,"Highlights
Watch the latest movies at Cathay Cineplexes in Singapore when you purchase this Digital Everyday Movie Ticket via Klook
Pick from any of their locations at your chosen showtimes!
Book seamlessly online via the Cathay Cineplexes website and select your preferred movie schedule in advance!
No time to book online? Just present your voucher from your Klook App and head to your branch's self-ticketing kiosk!
This Digital Everyday Movie Ticket is available until the validity date stated on your voucher, so no need to claim it immediately!",14.5,10.59,Events & shows,https://res.klook.com/image/upload/activities/k9itjotenotfabnb4np0.jpg,100000,4.8,4339,"['Bestseller', 'Instant confirmation', 'Book now for today']",false
34,Kiztopia Club Ticket at Jewel Changi Airport,https://www.klook.com/en-US/activity/98329-kiztopia-ticket-singapore-jewel-changi-airport/,"Highlights
Let your dreams take flight at our all-new 4,500 sq ft aviation-themed wonderland nestled within Jewel Changi, conveniently located in Toys “R” Us
This playground boasts unique features, including a colossal funnel slide that descends into an ocean ball pit, an interactive ball-shooting game wall, trampolines and challenging obstacle courses!
Immerse in the aviation experience as you explore a giant plane structure and a larger-than-life boarding pass - the perfect instagrammable photo spot for families and little Kizzos!
Fasten your seatbelts now as we take playtime to new heights",12,,Playgrounds,https://res.klook.com/image/upload/activities/eb43ncqri2vffjpb68nw.jpg,6000,4.4,85,"['Bestseller', 'Instant confirmation', 'Book now for today', 'Best Price Guarantee']",false
